ParserName,FileName,ApplicationID,Status,FailureReasons
Warrens2Updated_Basic,AllMandatoryDataIsMissing_Fail.xlsx,'1816178595892,Other failure,"Identifier is missing in sheet ""DR SCHAR UK LTD - R"" row 50, sheet ""DR SCHAR UK LTD - R"" row 51, sheet ""DR SCHAR UK LTD - R"" row 52 in addition to 7 other locations.
Product description is missing in sheet ""DR SCHAR UK LTD - R"" row 50, sheet ""DR SCHAR UK LTD - R"" row 51, sheet ""DR SCHAR UK LTD - R"" row 52 in addition to 7 other locations.
No of packages is missing in sheet ""DR SCHAR UK LTD - R"" row 50, sheet ""DR SCHAR UK LTD - R"" row 51, sheet ""DR SCHAR UK LTD - R"" row 52 in addition to 7 other locations.
Total net weight is missing in sheet ""DR SCHAR UK LTD - R"" row 50, sheet ""DR SCHAR UK LTD - R"" row 51, sheet ""DR SCHAR UK LTD - R"" row 52 in addition to 7 other locations."
Warrens2Updated_Basic,DescriptionHasDoubleQuotesShould_Pass.xlsx,'1816178595991,Pass,
Warrens2Updated_Basic,Empty_MultipleRowsColumns_Pass.xlsx,'1816178595895,Pass,
Warrens2Updated_Basic,Happypath_Pass.xlsx,'1816178595898,Pass,
Warrens2Updated_Basic,Incorrect_Mandatatypes_Excl_netandNopkgs_ProductCode_Pass.xlsx,'1816178622121,Pass,
Warrens2Updated_Basic,Incorrect_MandatoryData_MultipleRowsWithMultipleLocations_All_Fail.xlsx,'1816178595904,Other failure,"Product code is invalid in sheet ""DR SCHAR UK LTD - R"" row 50, sheet ""DR SCHAR UK LTD - R"" row 51 and sheet ""DR SCHAR UK LTD - R"" row 52.
No of packages is invalid in sheet ""DR SCHAR UK LTD - R"" row 50, sheet ""DR SCHAR UK LTD - R"" row 51 and sheet ""DR SCHAR UK LTD - R"" row 52.
Total net weight is invalid in sheet ""DR SCHAR UK LTD - R"" row 50, sheet ""DR SCHAR UK LTD - R"" row 51 and sheet ""DR SCHAR UK LTD - R"" row 52."
Warrens2Updated_Basic,Incorrect_MandatoryHeader_All_Unparse.xlsx,'1816178595907,Unparse,
Warrens2Updated_Basic,Incorrect_MandatoryHeader_CommodityCode_Unparse.xlsx,1.82E+12,Unparse,
Warrens2Updated_Basic,Incorrect_MandatoryHeader_Desc_Unparse.xlsx,1.82E+12,Unparse,
Warrens2Updated_Basic,Incorrect_MandatoryHeader_NoofPakgs_Unparse.xlsx,1.82E+12,Unparse,
Warrens2Updated_Basic,Incorrect_MandatoryHeader_TotNetweight_Unparse.xlsx,1.82E+12,Unparse,
Warrens2Updated_Basic,Incorrect_MandatoryHeader_TotNetweightKGS_Fail.xlsx,'1816178595919,Other failure,Net Weight Unit of Measure (kg) not found.
Warrens2Updated_Basic,Incorrect_MandatoryHeader_TreatmentType_Unparse.xlsx,'1816178595922,Unparse,
Warrens2Updated_Basic,Incorrect_OptionalData_All_Pass.xlsx,'1816178622127,Pass,
Warrens2Updated_Basic,Incorrect_OptionalHeader_All_Pass.xlsx,'1816178622136,Pass,
Warrens2Updated_Basic,Invalid_NoofPackages_MultipleRows_Fail.xlsx,'1816178595928,Other failure,"No of packages is invalid in sheet ""DR SCHAR UK LTD - R"" row 50, sheet ""DR SCHAR UK LTD - R"" row 51 and sheet ""DR SCHAR UK LTD - R"" row 52."
Warrens2Updated_Basic,InvalidCommodityCode_MultipleRows_Fail.xlsx,'1816178595994,Other failure,"Product code is invalid in sheet ""DR SCHAR UK LTD - R"" row 50, sheet ""DR SCHAR UK LTD - R"" row 51 and sheet ""DR SCHAR UK LTD - R"" row 52."
Warrens2Updated_Basic,MandatoryHeaders_CaseInSensitive_Pass.xlsx,'1816178595997,Pass,
Warrens2Updated_Basic,Missing_MandatoryData_CommodityCode_Fail.xlsx,'1816178595937,Other failure,"Identifier is missing in sheet ""DR SCHAR UK LTD - R"" row 50, sheet ""DR SCHAR UK LTD - R"" row 51 and sheet ""DR SCHAR UK LTD - R"" row 52."
Warrens2Updated_Basic,Missing_MandatoryData_CommodityCode_Nature_Fail.xlsx,'1816178596000,Other failure,"Identifier is missing in sheet ""DR SCHAR UK LTD - R"" row 50, sheet ""DR SCHAR UK LTD - R"" row 51 and sheet ""DR SCHAR UK LTD - R"" row 52."
Warrens2Updated_Basic,Missing_MandatoryData_Desc_Fail.xlsx,'1816178595943,Other failure,"Product description is missing in sheet ""DR SCHAR UK LTD - R"" row 50, sheet ""DR SCHAR UK LTD - R"" row 51 and sheet ""DR SCHAR UK LTD - R"" row 52."
Warrens2Updated_Basic,Missing_MandatoryData_MultipleRowsWithMultipleLocations_All_Fail.xlsx,'1816178595946,Other failure,"Product description is missing in sheet ""DR SCHAR UK LTD - R"" row 50.
No of packages is missing in sheet ""DR SCHAR UK LTD - R"" row 51.
Total net weight is missing in sheet ""DR SCHAR UK LTD - R"" row 51."
Warrens2Updated_Basic,Missing_MandatoryData_Noofpkgs_Fail.xlsx,'1816178595985,Other failure,"No of packages is missing in sheet ""DR SCHAR UK LTD - R"" row 50, sheet ""DR SCHAR UK LTD - R"" row 51 and sheet ""DR SCHAR UK LTD - R"" row 52."
Warrens2Updated_Basic,Missing_MandatoryData_Totnetweight_Fail.xlsx,'1816178595949,Other failure,"Total net weight is missing in sheet ""DR SCHAR UK LTD - R"" row 50, sheet ""DR SCHAR UK LTD - R"" row 51 and sheet ""DR SCHAR UK LTD - R"" row 52."
